2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
7.499287,6.8220906,11.15155,5.013898,0.8593383,2.262949,7.967258,6.378722,8.776745,8.3973675,12.647385
7.871331,6.258247,11.907776,4.834598,0.8240169,4.218616,5.1889215,9.522442,8.307447,6.6901975,10.082739
7.429885,6.3554897,8.390625,3.446876,1.9985466,1.0167005,2.4989066,9.194948,8.318609,5.1615744,7.039202
7.412155,4.281094,11.082576,6.5531883,0.8523213,2.8961694,6.4502254,6.0193715,5.1515517,7.0030503,8.238553
7.4880424,4.822008,9.135423,5.2617035,4.648653,7.9662943,6.935908,6.56857,6.0455956,7.8852725,7.288877
3.9183428,4.672037,9.935702,2.9295645,-0.3975139,3.5053728,7.572862,5.6941056,3.3699594,6.8767157,6.301695
5.0258946,6.4635806,12.785113,2.6136165,3.1592073,5.0524035,6.577984,7.163721,7.2228694,6.689663,7.2982855
5.860863,5.856848,11.769001,4.721005,3.696796,4.5766997,6.0313206,10.016799,6.831397,9.07076,8.380526
5.6965537,6.999529,10.945034,1.8700038,1.519841,4.834239,7.9963007,7.8935604,8.195183,9.24154,8.680579
7.9729548,4.25282,11.734503,3.8456273,1.3440173,4.7233605,6.2619267,9.491862,8.067312,9.965089,8.463942
6.6377454,7.3004436,10.328415,1.8788888,3.8463516,7.1539245,6.981406,6.6907167,6.005082,7.3709073,7.6233234
6.11148,6.9791036,11.993852,3.4256172,4.7566805,4.9886518,6.7757597,10.327296,7.855752,7.8205595,7.252919
7.0789495,3.4548397,10.471858,2.205921,1.9940821,6.0434804,4.295242,9.654454,8.683058,8.959995,11.997476
5.6044397,6.126916,7.2810473,2.8783774,1.957159,6.743717,5.2121396,6.422928,7.662296,11.399058,8.214618
4.732148,8.840021,10.087293,5.3712873,1.3560227,3.3135667,6.785961,6.4569206,4.8218455,8.485161,9.328185
6.5935087,7.663142,8.810733,4.62783,1.9628776,5.740773,4.5876455,7.893086,5.771805,9.241121,10.652423
6.6528397,8.197671,10.319069,1.8281196,0.14941153,3.0683928,6.697402,10.025837,6.646109,6.216303,12.410879
6.5282016,7.696974,10.444412,0.91832495,-1.427937,4.566483,4.122952,6.646198,6.596023,9.183568,8.718727
7.9618163,6.974353,9.718372,2.33579,1.1458191,4.607705,9.900848,9.362502,5.2800574,9.240273,10.175115
9.112713,6.1326118,10.32206,5.101179,0.13701797,2.0112267,7.006167,4.983529,6.840643,7.0585365,9.596792
7.8648806,6.1073723,7.285395,0.8806213,3.4848945,2.092932,5.268012,7.9044385,7.3998985,6.590647,8.670779
5.761538,6.450556,10.883768,4.979187,3.3773127,3.7241147,7.0944085,9.23879,7.0072184,9.258311,9.945711
7.5378213,5.1623564,8.257213,6.2740326,4.2720504,5.7432313,7.235265,6.249313,5.9104896,7.27871,8.097464
8.117461,7.2750387,9.876362,2.7242427,2.878682,3.4886832,9.1895,6.1090183,8.249188,9.924656,7.4002767
7.936371,6.8851404,5.681864,4.944367,1.1649195,5.2538266,7.1818194,5.509513,10.337731,9.272028,10.818613
7.3189654,6.1906476,10.73518,5.1932244,1.7687927,3.3979704,8.306398,8.916865,6.282909,10.735858,9.054162
4.986493,8.685337,9.843811,5.112195,2.171722,0.6237457,6.2307563,7.8036094,6.9976273,11.017305,9.772166
5.0877233,6.7443733,7.792359,6.1410756,0.6573653,5.1698494,3.7954516,8.187087,4.299424,9.339501,8.422075
