"","Obs_t_1","NINA1_avg_t_1","NINA1_std_t_1","year","target","time","OLR","ESPI.x","z500_std","YYYY","seasonal","trend","remainder","stl_r","stl_t","stl_s","...1.y","soi_long_y","pna_y","nina3_y_anom","oni","ESPI.y","z500_std_t_1"
"11",4,22.8422222222222,2.6460452671025,1992,4,12,302.5,11.21525,-5.79,1992,-1.08285714285714,4.6,0.482857142857143,0.816266350988077,5.53277764517928,-2.34904399616736,14,-1.2275,0.196666666666667,0.435833333333333,0.641666666666667,11.21525,2.09
"12",4,23.0555555555556,2.10398233516032,1993,4,13,310,6.81414,-5.82,1993,-0.850714285714286,5.2,-0.349285714285714,-1.74646149065876,5.7105778269441,0.0358836637146614,15,-1.10666666666667,0.2275,0.336666666666667,0.325,6.81414,-5.79
"13",4,22.3944444444444,1.80961379397189,1994,3,14,419.7,6.48314,-4.2,1994,-0.725714285714286,6.2,-2.47428571428571,-2.42059268800127,6.09649504321523,-0.675902355213965,16,-1.35333333333333,-0.6825,0.0725,0.475,6.48314,-5.82
"14",3,22.1866666666667,2.05263837671314,1995,11,15,560.3,-5.16445,2.58,1995,2.99928571428571,6,2.00071428571429,1.7408019373588,6.48241225948636,2.77678580315485,17,-0.335833333333333,0.174166666666667,-0.4925,-0.158333333333333,-5.16445,-4.2
"15",11,21.6433333333333,2.07421605003486,1996,9,16,659.2,-7.67635,-6.93,1996,-0.34,7.2,2.14,1.337868520549,6.83700267259657,0.825128806854427,18,0.5625,-0.5075,-0.68,-0.466666666666667,-7.67635,2.58
"16",9,25.5466666666667,1.00026524260096,1997,3,17,316.8,23.08765,-4.15,1997,-1.08285714285714,8.2,-4.11714285714286,-0.774015167987889,7.19159308570678,-3.41757791771889,19,-1.28833333333333,0.101666666666667,1.44083333333333,1.16666666666667,23.08765,-6.93
"17",3,23.8322222222222,3.10760659511464,1998,10,18,594.8,1.54329,18.36,1998,-0.850714285714286,7.6,3.25071428571429,2.33842480048641,7.41117739499661,0.250397804516987,20,-0.224166666666667,0.293333333333333,0.495,-0.0666666666666667,1.54329,-4.15
"18",10,21.96,2.1143772067023,1999,8,19,706.7,-11.83338,-17.26,1999,-0.725714285714286,7.6,1.12571428571429,0.62397296536694,7.63076170428644,-0.254734669653375,21,0.786666666666667,0.1875,-1.03083333333333,-1.23333333333333,-11.83338,18.36
"19",8,22.0277777777778,2.04281855261031,2000,8,20,691.7,-9.18764,-14.28,2000,2.99928571428571,7.8,-2.79928571428571,-3.05628384111242,7.77346266849669,3.28282117261574,22,0.7225,-0.3075,-0.6425,-0.825,-9.18764,-17.26
"20",8,21.8288888888889,2.35063629092683,2001,9,21,523.3,-5.40494,-4.33,2001,-0.34,7.2,2.14,0.951656601669963,7.91616363270694,0.132179765623099,23,-0.0783333333333333,0.0266666666666667,-0.338333333333333,-0.3,-5.40494,-14.28
"21",9,22.8744444444444,2.11484879286125,2002,4,22,349.7,9.72282,2.41,2002,-1.08285714285714,7.6,-2.51714285714286,-0.426935215639358,7.98808272505905,-3.56114750941969,24,-0.723333333333333,-0.1225,0.458333333333333,0.633333333333333,9.72282,-4.33
"22",4,22.3722222222222,2.0115679346111,2003,7,23,481.1,0.31458,5.83,2003,-0.850714285714286,9,-1.14928571428571,-1.30284568616503,8.06000181741116,0.242843868753872,25,-0.426666666666667,2.32651716179181e-18,0.129166666666667,0.258333333333333,0.31458,2.41
